DATE,ID_Etud,Groupe_ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
21/04/2015,1,1,2,2,5,5,4,5,6,4,4,8,6,8
21/04/2015,2,1,5,5,4,6,5,5,5,6,6,8,7,6
21/04/2015,3,1,4,3,5,4,2,6,4,4,6,7,7,8
21/04/2015,4,1,5,3,6,5,4,6,6,3,7,8,1,1
26/05/2015,1,2,4,3,6,7,4,5,6,5,5,7,3,3
26/05/2015,2,2,4,5,6,6,4,6,6,7,7,8,7,6
26/05/2015,3,2,5,2,6,8,4,4,5,5,5,7,5,2
26/05/2015,4,2,6,4,8,5,5,5,6,6,8,8,5,2
28/05/2015,1,3,3,2,4,2,3,3,5,4,3,7,6,2
28/05/2015,2,3,2,1,3,6,2,3,5,5,6,8,6,7
28/05/2015,3,3,2,2,3,6,2,5,3,3,4,7,7,7
28/05/2015,4,3,4,2,4,5,4,3,5,5,7,8,2,7
28/05/2015,5,3,3,3,4,8,3,6,5,8,6,6,5,7
02/06/2015,1,4,2,2,3,6,3,2,3,2,2,8,5,6
02/06/2015,2,4,5,4,4,6,5,6,6,5,,7,6,2
02/06/2015,3,4,5,3,4,4,3,4,7,1,8,8,4,8
02/06/2015,4,4,3,3,3,8,4,6,7,6,6,6,7,3
02/06/2015,5,4,1,1,1,6,1,4,5,4,6,8,5,8
02/06/2015,6,4,2,1,4,6,4,2,5,4,5,7,6,8
02/06/2015,7,4,4,3,5,5,4,5,4,3,6,8,5,6
02/06/2015,8,4,3,3,2,3,3,4,4,3,5,6,5,5
02/06/2015,9,4,3,3,6,6,3,5,4,4,7,7,8,8
02/06/2015,10,4,2,2,2,7,1,5,8,2,8,8,6,3
02/06/2015,11,4,6,4,4,7,6,2,6,3,7,8,3,6
03/06/2015,1,5,5,5,6,7,4,2,7,2,8,4,1,2
03/06/2015,2,5,5,5,6,4,4,4,6,7,8,8,2,4
03/06/2015,3,5,1,2,4,6,2,1,4,2,4,7,6,4
03/06/2015,4,5,2,4,5,5,3,4,7,6,7,6,3,2
03/06/2015,5,5,2,2,3,4,2,2,5,1,5,6,8,7
03/06/2015,6,5,4,5,8,8,4,7,8,6,3,8,7,8
03/06/2015,7,5,3,2,2,2,3,2,5,3,7,4,2,2
03/06/2015,8,5,2,1,1,3,3,4,4,2,7,7,5,4
05/06/2015,1,6,2,2,6,3,4,6,6,5,6,7,7,6
05/06/2015,2,6,2,2,4,3,2,5,3,2,3,8,2,7
05/06/2015,3,6,1,2,3,4,2,3,3,3,4,8,8,8
05/06/2015,4,6,3,2,4,3,2,3,4,4,5,7,5,7
05/06/2015,5,6,3,3,7,5,4,6,7,6,6,7,7,3
05/06/2015,6,6,2,1,5,1,2,6,5,2,7,8,3,8
08/06/2015,1,7,1,1,3,3,1,2,1,1,5,8,3,8
08/06/2015,2,7,5,4,5,6,4,3,5,5,5,6,7,6
08/06/2015,3,7,4,2,4,2,2,3,3,3,6,6,6,6
08/06/2015,4,7,3,1,4,4,4,4,4,4,6,8,5,8
08/06/2015,5,7,3,2,4,6,3,5,6,4,7,7,7,2
08/06/2015,6,7,3,2,4,3,2,1,4,3,3,6,5,7
08/06/2015,7,7,4,3,6,6,3,3,4,5,6,7,5,6
08/06/2015,8,7,3,2,5,7,2,4,3,3,6,6,4,3
09/06/2015,1,8,1,1,2,4,1,3,5,2,2,7,7,8
09/06/2015,2,8,4,5,5,3,4,3,4,5,6,7,3,6
09/06/2015,3,8,2,1,3,7,3,3,3,4,8,8,5,7
09/06/2015,4,8,4,3,3,5,1,6,6,4,6,8,7,8
09/06/2015,5,8,1,1,2,7,2,6,6,4,1,7,6,8
09/06/2015,6,8,1,2,2,4,1,1,1,3,2,4,6,6
09/06/2015,7,8,1,1,2,2,1,2,3,3,4,6,6,7
09/06/2015,8,8,2,2,4,6,2,2,7,4,6,7,8,6
09/06/2015,9,8,3,5,4,6,3,5,6,6,7,7,6,7
06/06/2015,10,8,3,1,4,3,1,3,2,3,5,6,3,7
